id,game_id,name,storyline,first_release_date,follow_count,hype_count,critic_rating_value,critic_rating_count,user_rating_value,user_rating_count
128683,43903,Little Princess: Marl Oukoku no Ningyou Hime 2,"Little Princess starts off many years after where Rhapsody: A Musical Adventure left off. Cornet, having saved Prince Ferdinand in Rhapsody, is now the ruler of Marl Kingdom. They have one daughter, Kururu, named after Cornet's fairy puppet friend. Now twelve years old, Kururu, joined by her best friend Crea Rosenqueen, wants to go on a journey to find her own knight in shining armor.",1999-11-25 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
128708,45791,Buggy Heat,NULL,1999-10-09 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
128715,44862,Langrisser IV & V: Final Edition,NULL,1999-02-28 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
128792,44976,Rising Zan: The Samurai Gunman,NULL,1999-03-25 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
128828,44840,Bishi Bashi Special 2,NULL,1999-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
128841,43858,MTV Sports: Snowboarding,NULL,1999-10-30 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
128928,37564,Neon Genesis Evangelion: Shito Ikusei,NULL,1999-08-22 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
129017,49861,Pitfall: Beyond the Jungle,NULL,1999-01-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
129372,6710,Street Fighter III: 3rd Strike,"3rd Strike tells the story of what happened after the events of Street Fighter III: 2nd Impact and the conclusion of the Third World Warrior Tournament (fourth, retroactively). Among the battles that occured during this time:  Alex vs. Ryu - Ryu encounters and defeats Alex comprehensively, leading Alex to become obsessed with fighting Ryu again and becoming a better fighter. Ryu vs. Ken - The two friends face off once more and Ryu again narrowly defeats Ken, lauding him as his worthiest opponent. Chun-Li vs. Urien - Chun-Li demands the return of a kidnapped child and Urien agrees to comply if Chun-Li can provide an entertaining match. The victor is unknown, although it is implied Chun-Li won, as the child is returned. Necro vs. Twelve - Upon learning the Necro and his female companion, Effie, survived the events of 2nd Impact, Necro's successor, Twelve, is ordered by either Gill or Urien to hunt down and exterminate them. While the official outcome of this battle is unknown, Necro's ending reveals that he and Effie likely survived the encounter. Twelve, in the meantime, is returned to Dr. Woo's lab to recuperate, and it is hinted that he has gained sentience, as his hollow eyes gain red irises. Akuma vs. Oro - Both have fought each other after an encounter, but declared to cease combat as there was no clear winner and both believed that a mutual death would occur had they continued.",1999-05-12 00:00:00.000,17,NULL,90.0000,3,79.4270,69
129549,40109,Crusher Makochan,NULL,1999-12-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
129604,819,Grand Theft Auto 2,"A sequel to Grand Theft Auto (1997), this game once again puts the player in the role of an aspiring thug hoping to climb to the top of the criminal world by completing missions and terrorizing the citizenry.",1999-10-22 00:00:00.000,149,NULL,70.0000,1,80.1073,423
129766,107240,¡Aguante Imaginario!,NULL,1999-10-18 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
129783,46060,Shining Force III: Premium Disc,NULL,1999-01-03 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
129805,6715,Blue Stinger,NULL,1999-03-25 00:00:00.000,2,NULL,63.0000,1,NULL,NULL
